@anthropic-ai/claude-code	2.1.114	SEE LICENSE IN README.md
@aparajita/capacitor-biometric-auth	10.0.0	MIT
@aparajita/capacitor-secure-storage	8.0.0	MIT
@asteasolutions/zod-to-openapi	8.5.0	MIT
@bufbuild/buf	1.68.2	Apache-2.0
@bufbuild/protobuf	2.11.0	(Apache-2.0 AND BSD-3-Clause)
@bufbuild/protoc-gen-es	2.11.0	Apache-2.0
@capacitor/android	8.3.1	MIT
@capacitor/app	8.1.0	MIT
@capacitor/cli	8.3.1	MIT
@capacitor/clipboard	8.0.1	MIT
@capacitor/core	8.3.1	MIT
@capacitor/filesystem	8.1.2	MIT
@capacitor/haptics	8.0.2	MIT
@capacitor/ios	8.3.1	MIT
@capacitor/keyboard	8.0.3	MIT
@capacitor/network	8.0.1	MIT
@capacitor/preferences	8.0.1	MIT
@capacitor/push-notifications	8.0.3	MIT
@capacitor/share	8.0.1	MIT
@capacitor/splash-screen	8.0.1	MIT
@capacitor/status-bar	8.0.2	MIT
@capgo/inappbrowser	8.6.1	MPL-2.0
@commitlint/cli	20.5.0	MIT
@commitlint/config-conventional	20.5.0	MIT
@cyclonedx/cyclonedx-npm	4.2.1	Apache-2.0
@hono/node-server	2.0.0	MIT
@loop/shared		
@playwright/test	1.59.1	Apache-2.0
@react-router/dev	7.14.2	MIT
@react-router/node	7.14.2	MIT
@react-router/serve	7.14.2	MIT
@sentry/cli	2.49.0	BSD-3-Clause
@sentry/hono	10.51.0	MIT
@sentry/node	10.51.0	MIT
@sentry/react	10.51.0	MIT
@stellar/stellar-sdk	15.0.1	Apache-2.0
@tailwindcss/vite	4.2.2	MIT
@tanstack/react-query	5.99.0	MIT
@testing-library/react	16.3.2	MIT
@types/leaflet	1.9.21	MIT
@types/node	25.6.0	MIT
@types/qrcode	1.5.6	MIT
@types/react	19.1.2	MIT
@types/react-dom	19.1.2	MIT
@typescript-eslint/eslint-plugin	8.58.2	MIT
@typescript-eslint/parser	8.58.2	MIT
@vitest/coverage-v8	4.1.4	MIT
concurrently	9.2.1	MIT
drizzle-kit	0.31.10	MIT
drizzle-orm	0.45.2	Apache-2.0
eslint	10.3.0	MIT
eslint-plugin-react-hooks	7.1.1	MIT
hono	4.12.16	MIT
husky	9.1.7	MIT
isbot	5.1.39	Unlicense
jsbarcode	3.12.3	MIT
jsdom	29.1.1	MIT
leaflet	1.9.4	BSD-2-Clause
lint-staged	16.4.0	MIT
pino	10.3.1	MIT
pino-pretty	13.1.3	MIT
postgres	3.4.9	Unlicense
prettier	3.8.3	MIT
qrcode	1.5.4	MIT
react	19.2.5	MIT
react-dom	19.2.5	MIT
react-router	7.14.2	MIT
sharp	0.34.5	Apache-2.0
tailwindcss	4.2.2	MIT
tsup	8.5.1	MIT
tsx	4.21.0	MIT
typescript	6.0.3	Apache-2.0
vite	7.3.2	MIT
vitest	4.1.4	MIT
wait-on	9.0.5	MIT
zod	4.4.2	MIT
zustand	5.0.12	MIT
